Defect Speed Temp Cooltime
0 0.2 285 22.34
0 0.3 285 22.21
1 0.4 285 21.08
1 0.5 285 20.43
0 0.2 290 20.32
0 0.3 290 21.69
1 0.4 290 21.34
1 0.5 290 22.88
0 0.2 300 21.98
1 0.3 300 20.96
0 0.4 300 21.74
1 0.5 300 21.99
0 0.2 295 21.3
1 0.3 295 22.84
1 0.4 295 20.25
0 0.5 295 22.08
0 0.2 285 21.12
0 0.3 285 22.12
0 0.4 285 20.33
0 0.5 285 20.51
0 0.2 290 22.29
0 0.3 290 21.39
0 0.4 290 22.12
0 0.5 290 21.95
1 0.2 300 22.17
0 0.3 300 21.53
1 0.4 300 22.43
1 0.5 300 22.31
1 0.2 295 21.69
0 0.3 295 22.03
0 0.4 295 22.73
1 0.5 295 20.01
0 0.2 285 22.61
0 0.3 285 20.09
1 0.4 285 22.08
0 0.5 285 20.76
0 0.2 290 22.06
1 0.3 290 22.4
0 0.4 290 21.86
0 0.5 290 21.69
0 0.2 300 20.62
0 0.3 300 21.09
0 0.4 300 22.08
1 0.5 300 21.21
1 0.2 295 22.51
0 0.3 295 20.54
0 0.4 295 21.16
1 0.5 295 20
